No;Reason;Date;Time;RPM;PF;LChr;IL1;IL2;IL3;Mfrq;Vm1;Vm2;Vm3;Vm12;Vm23;Vm31;VBat;OilP;EngT;FLvl;AIN4;BIN;BOUT;Gfrq;Vg1;Vg2;Vg3;Vg12;Vg23;Vg31;Q;Pwr;Mode
0;Wrn MCB Fail;29.06.2002;04:32:01;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,7;3,6;50;53;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-1;Fault reset;29.06.2002;04:31:55;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,7;3,6;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-2;Terminal;29.06.2002;04:31:55;T=CELL 1 FaultReset command
-3;Wrn MCB Fail;29.06.2002;04:31:30;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,7;3,6;50;53;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-4;Fault reset;29.06.2002;04:31:24;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,6;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-5;Terminal;29.06.2002;04:31:24;T=CELL 1 FaultReset command
-6;Wrn MCB Fail;29.06.2002;04:30:00;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,7;3,6;50;53;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-7;Not Ready;29.06.2002;04:29:55;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,7;3,6;50;53;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-8;SetpointChange;29.06.2002;04:29:54;T=CELL 1 CON(8315)=0
-9;Ready;29.06.2002;04:29:04;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,7;3,6;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-10;Fault reset;29.06.2002;04:29:04;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,7;3,6;50;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
